기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-06-01,⑨ 진단,스파팅 재세탁율(%),3.65,3.3,10.6,,
2026-06-01,⑨ 진단,출고 의류 수(건),459534,432211,6.3,,
2026-06-01,⑨ 진단,안심케어 인입(건),2240,1315,70.3,,
2026-06-01,⑨ 진단,안심케어 요청 지연 P90(일),10.0,7.0,42.9,,
2026-06-01,⑨ 진단,출고 − QC 시행 간격 중앙값(일),1.0,,,,
2026-07-01,⑤ 품질,QC 부적합률(%),9.5,,,전년比 상승 금지,
2026-07-01,⑤ 품질,스파팅 못지움율(%),17.7,,,전년比 상승 금지,
2026-07-01,⑤ 품질,안심케어 인입률(%),,0.54,,전년比 상승 금지,
2026-07-01,⑧ 공장,QC 부적합률(%) · 군포공장,9.0,,,전년比 상승 금지,
2026-07-01,⑧ 공장,스파팅 못지움율(%) · 군포공장,17.1,,,전년比 상승 금지,
2026-07-01,⑧ 공장,안심케어 인입률(%) · 군포공장,,0.5,,전년比 상승 금지,
2026-07-01,⑨ 진단,QC 진행률(%) · 군포공장,37.98,0,,,
2026-07-01,⑧ 공장,QC 부적합률(%) · 부산공장,9.9,,,전년比 상승 금지,
2026-07-01,⑧ 공장,스파팅 못지움율(%) · 부산공장,18.2,,,전년比 상승 금지,
2026-07-01,⑧ 공장,안심케어 인입률(%) · 부산공장,,0.58,,전년比 상승 금지,
2026-07-01,⑨ 진단,QC 진행률(%) · 부산공장,63.3,0,,,
2026-07-01,⑧ 공장,QC 부적합률(%) · 성수공장,10.8,,,전년比 상승 금지,
2026-07-01,⑧ 공장,스파팅 못지움율(%) · 성수공장,19.3,,,전년比 상승 금지,
2026-07-01,⑧ 공장,안심케어 인입률(%) · 성수공장,,0.66,,전년比 상승 금지,
2026-07-01,⑨ 진단,QC 진행률(%) · 성수공장,88.62,0,,,
2026-07-01,⑨ 진단,QC 진행률(%),63.3,0,,,
2026-07-01,⑨ 진단,스파팅 진행률(%),9.8,0,,,
2026-07-01,⑨ 진단,스파팅 결과 미입력률(%),1.1,,,,
2026-07-01,⑨ 진단,스파팅 재세탁율(%),3.7,3.3,12.1,,
2026-07-01,⑨ 진단,출고 의류 수(건),461034,433611,6.3,,
2026-07-01,⑨ 진단,안심케어 인입(건),2330,1395,67.0,,
2026-07-01,⑨ 진단,안심케어 요청 지연 P90(일),10.0,7.0,42.9,,
2026-07-01,⑨ 진단,출고 − QC 시행 간격 중앙값(일),1.0,,,,
2026-01-01,⑨ 진단,"안심케어 접수(요청일, 건)",1810,930,,,
2026-02-01,⑨ 진단,"안심케어 접수(요청일, 건)",1900,1010,,,
2026-03-01,⑨ 진단,"안심케어 접수(요청일, 건)",1990,1090,,,
2026-04-01,⑨ 진단,"안심케어 접수(요청일, 건)",2080,1170,,,
2026-05-01,⑨ 진단,"안심케어 접수(요청일, 건)",2170,1250,,,
2026-06-01,⑨ 진단,"안심케어 접수(요청일, 건)",2260,1330,,,
2026-07-01,⑨ 진단,"안심케어 접수(요청일, 건)",2350,1410,,,
