기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-03-01,④ 금액,결제금액(원),4388081287.0,4252025662.0,3.2,,
2026-03-01,④ 금액,무상포인트 할인율(%),2.5,2.28,9.3,전년比 +0.5%p 이내,양호
2026-03-01,④ 금액,"실질 매출(선수금 이연, 원)",4283018134.0,4252025662.0,0.7,,
2026-03-01,⑨ 진단,배송시각 결측(%),0.15,0.11,27.7,,
2026-03-01,⑤ 품질,세탁 부속품 비중(%),5.02,4.25,18.2,,
2026-03-01,⑤ 품질,세탁 불가(만건당),6.09,1.25,387.2,2건 이하,이탈
2026-03-01,⑤ 품질,전체 리드타임 P90(일),4.17,4.92,-15.3,전년比 상승 금지,양호
2026-03-01,⑤ 품질,출고 기한 준수율(%),94.0,98.76,-4.8,95% 이상,이탈
2026-03-01,⑥ 캐파,일 최대 물량(점),30743.0,29389.0,4.6,,
2026-03-01,⑥ 캐파,일평균 물량(점),17797.58,17963.61,-0.9,,
2026-03-01,⑦ 신규,가입 → 7일 내 첫 이용(%),41.12,34.29,19.9,전년比 하락 금지,양호
2026-03-01,⑦ 신규,가입자당 7일 주문(건),0.58,0.48,19.9,전년比 -5% 이내,양호
2026-03-01,⑦ 신규,신규 가입자(명),15770.0,18385.0,-14.2,,
2026-04-01,① 핵심,NSM · 세탁 물량(점),610191.0,637170.0,-4.2,전년比 0% 이상,이탈
2026-04-01,① 핵심,고객당 물량(점),9.13,9.46,-3.5,전년比 -3% 이내,이탈
2026-04-01,① 핵심,수거신청 수(건),105611.0,108854.0,-3.0,,
2026-04-01,① 핵심,"활성 고객 수(순, 명)",66854.0,67349.0,-0.7,,
2026-04-01,② 구성,구독 고객 비중(%),35.75,38.27,-6.6,40% 이상,이탈
2026-04-01,② 구성,구독 고객당 물량(점),13.04,12.94,0.7,,
2026-04-01,② 구성,월 구독 물량(점),294608.0,333636.0,-11.7,,
2026-04-01,② 구성,자유 고객당 물량(점),6.91,7.22,-4.4,,
2026-04-01,② 구성,자유 물량(점),298628.0,303534.0,-1.6,,
2026-04-01,② 구성,플러스 물량(점),16955.0,0.0,,,
2026-04-01,③ 구독,구독-개월 수(건),26699.0,28786.0,-7.3,,
2026-04-01,③ 구독,낙전 비율(%),9.2,10.26,-10.3,전년比 상승 금지,양호
2026-04-01,④ 금액,결제금액(원),5295286672.0,4927205515.0,7.5,,
2026-04-01,④ 금액,무상포인트 할인율(%),2.46,2.72,-9.6,전년比 +0.5%p 이내,양호
2026-04-01,④ 금액,"실질 매출(선수금 이연, 원)",5193891035.17,4927205515.0,5.4,,
2026-04-01,⑨ 진단,배송시각 결측(%),0.21,0.2,5.0,,
2026-04-01,⑤ 품질,세탁 부속품 비중(%),4.36,4.13,5.7,,
2026-04-01,⑤ 품질,세탁 불가(만건당),9.91,1.11,792.8,2건 이하,이탈
2026-04-01,⑤ 품질,전체 리드타임 P90(일),4.92,4.08,20.4,전년比 상승 금지,이탈
2026-04-01,⑤ 품질,출고 기한 준수율(%),95.32,98.65,-3.4,95% 이상,양호
2026-04-01,⑥ 캐파,일 최대 물량(점),38695.0,33856.0,14.3,,
2026-04-01,⑥ 캐파,일평균 물량(점),20339.7,21239.0,-4.2,,
2026-04-01,⑦ 신규,가입 → 7일 내 첫 이용(%),39.33,29.48,33.4,전년比 하락 금지,양호
2026-04-01,⑦ 신규,가입자당 7일 주문(건),0.53,0.42,27.2,전년比 -5% 이내,양호
2026-04-01,⑦ 신규,신규 가입자(명),17560.0,26201.0,-33.0,,
2026-05-01,① 핵심,NSM · 세탁 물량(점),596176.0,606081.0,-1.6,전년比 0% 이상,이탈
2026-05-01,① 핵심,고객당 물량(점),9.5,9.59,-0.9,전년比 -3% 이내,양호
